"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2016-06-28T05:22:49Z"
"Version","20160501000000"
"OfferCode","AmazonVPC"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Endpoint Type","Transfer Type","From Location","From Location Type","To Location","To Location Type","usageType","operation"
"B3VACMZKHVCS9UJG","JRTCKXETXF","B3VACMZKHVCS9UJG.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.080 per GB - Asia Pacific (Seoul) data transfer to Asia Pacific (Tokyo)","2016-05-01","0","Inf","GB","0.0800000000","USD","Data Transfer","AWSDataTransfer",,,,"InterRegion Outbound","Asia Pacific (Seoul)","AWS Region","Asia Pacific (Tokyo)","AWS Region","APN2-APN1-AWS-Out-Bytes",""
"VNGJWEYQ56GJWPGU","JRTCKXETXF","VNGJWEYQ56GJWPGU.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.086 per GB - Asia Pacific (Mumbai) data transfer to Asia Pacific (Seoul)","2016-05-01","0","Inf","GB","0.0860000000","USD","Data Transfer","AWSDataTransfer",,,,"InterRegion Outbound","Asia Pacific (Mumbai)","AWS Region","Asia Pacific (Seoul)","AWS Region","APS3-APN2-AWS-Out-Bytes",""
"H47KDX6Z7FAQJCGN","JRTCKXETXF","H47KDX6Z7FAQJCGN.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - AWS GovCloud (US) data transfer from Asia Pacific (Mumbai)","2016-05-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSDataTransfer",,,,"InterRegion Inbound","AWS GovCloud (US)","AWS Region","Asia Pacific (Mumbai)","AWS Region","UGW1-APS3-AWS-In-Bytes",""
"B66ZEPTUUSHNP7D3","JRTCKXETXF","B66ZEPTUUSHNP7D3.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.080 per GB - Asia Pacific (Seoul) data transfer to US West (Oregon)","2016-05-01","0","Inf","GB","0.0800000000","USD","Data Transfer","AWSDataTransfer",,,,"InterRegion Outbound","Asia Pacific (Seoul)","AWS Region","US West (Oregon)","AWS Region","APN2-USW2-AWS-Out-Bytes",""
"MPTK4XZFGKXHBE83","JRTCKXETXF","MPTK4XZFGKXHBE83.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB - EU (Germany) data transfer to Asia Pacific (Sydney)","2016-05-01","0","Inf","GB","0.0200000000","USD","Data Transfer","AWSDataTransfer",,,,"InterRegion Outbound","EU (Frankfurt)","AWS Region","Asia Pacific (Sydney)","AWS Region","EUC1-APS2-AWS-Out-Bytes",""
"DZTYEC39NYWFQHH4","JRTCKXETXF","DZTYEC39NYWFQHH4.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - Asia Pacific (Tokyo) data transfer from Asia Pacific (Sydney)","2016-05-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSDataTransfer",,,,"InterRegion Inbound","Asia Pacific (Tokyo)","AWS Region","Asia Pacific (Sydney)","AWS Region","APN1-APS2-AWS-In-Bytes",""
"2QXNWQRCPNA3GY7T","JRTCKXETXF","2QXNWQRCPNA3GY7T.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.086 per GB - Asia Pacific (Mumbai) data transfer to EU (Germany)","2016-05-01","0","Inf","GB","0.0860000000","USD","Data Transfer","AWSDataTransfer",,,,"InterRegion Outbound","Asia Pacific (Mumbai)","AWS Region","EU (Frankfurt)","AWS Region","APS3-EUC1-AWS-Out-Bytes",""
"Q96UBPVHCUASQYDM","JRTCKXETXF","Q96UBPVHCUASQYDM.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.03 per GB - AWS GovCloud (US) data transfer to US West (Northern California)","2016-05-01","0","Inf","GB","0.0300000000","USD","Data Transfer","AWSDataTransfer",,,,"InterRegion Outbound","AWS GovCloud (US)","AWS Region","US West (N. California)","AWS Region","UGW1-USW1-AWS-Out-Bytes",""
"E2CVBNCD9S5C5G7T","JRTCKXETXF","E2CVBNCD9S5C5G7T.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.14 per GB - Asia Pacific (Sydney) data transfer to US West (Oregon)","2016-05-01","0","Inf","GB","0.1400000000","USD","Data Transfer","AWSDataTransfer",,,,"InterRegion Outbound","Asia Pacific (Sydney)","AWS Region","US West (Oregon)","AWS Region","APS2-USW2-AWS-Out-Bytes",""
"NR3GYUVAU7D79JWY","JRTCKXETXF","NR3GYUVAU7D79JWY.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - South America (Sao Paulo) data transfer from EU (Ireland)","2016-05-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSDataTransfer",,,,"InterRegion Inbound","South America (Sao Paulo)","AWS Region","EU (Ireland)","AWS Region","SAE1-EU-AWS-In-Bytes",""
