"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2017-04-24T23:01:14Z"
"Version","20170424230114"
"OfferCode","AmazonS3"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Availability","Storage Class","Volume Type","Fee Code","Fee Description","Group","Group Description","Transfer Type","From Location","From Location Type","To Location","To Location Type","usageType","operation","Durability"
"HP9SF3EFMVUBQQ2J","JRTCKXETXF","HP9SF3EFMVUBQQ2J.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.040 per GB - EU (Ireland) Amazon S3 accelerated data transfer from Asia Pacific (Singapore)","2017-04-01","0","Inf","GB","0.0400000000","USD","Data Transfer","AWSDataTransfer","","","","","","","","","","Accelerated InterRegion Inbound using edge locations within US, Europe or Japan","EU (Ireland)","AWS Region","Asia Pacific (Singapore)","AWS Region","EU-APS1-AWS-In-ABytes-T1","",""
"BC24XA6HRAZXXARQ","JRTCKXETXF","BC24XA6HRAZXXARQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.040 per GB - Asia Pacific (Seoul) Amazon S3 accelerated data transfer from EU (Ireland)","2017-04-01","0","Inf","GB","0.0400000000","USD","Data Transfer","AWSDataTransfer","","","","","","","","","","Accelerated InterRegion Inbound using edge locations outside US, Europe or Japan","Asia Pacific (Seoul)","AWS Region","EU (Ireland)","AWS Region","APN2-EU-AWS-In-ABytes-T2","",""
"KG5Q3HDHG9TY2W9V","JRTCKXETXF","KG5Q3HDHG9TY2W9V.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB - US East (Ohio) data transfer to EU (Ireland)","2017-04-01","0","Inf","GB","0.0200000000","USD","Data Transfer","AWSDataTransfer","","","","","","","","","","InterRegion Outbound","US East (Ohio)","AWS Region","EU (Ireland)","AWS Region","USE2-EU-AWS-Out-Bytes","",""
"FF48STMVKBWPMADX","JRTCKXETXF","FF48STMVKBWPMADX.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.040 per GB - EU (Ireland) Amazon S3 accelerated data transfer from EU (Germany)","2017-04-01","0","Inf","GB","0.0400000000","USD","Data Transfer","AWSDataTransfer","","","","","","","","","","Accelerated InterRegion Inbound from close by location","EU (Ireland)","AWS Region","South America (Sao Paulo)","AWS Region","EU-SAE1-AWS-In-ABytes","",""
"B79WESNEWTHG3KQ5","JRTCKXETXF","B79WESNEWTHG3KQ5.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0025 per GB - Bulk retrieval fee","2017-04-01","0","Inf","GB","0.0025000000","USD","Fee","AmazonS3","EU (Ireland)","AWS Region","","","","S3-Bulk-Retrieval","Fee for Bulk Retrieval of data stored","","","","","","","","EU-Bulk-Retrieval-Bytes","",""
"GPZVNZK9FXJMN6H9","JRTCKXETXF","GPZVNZK9FXJMN6H9.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0025 per 1 million objects listed in S3 Inventory","2017-04-01","0","Inf","Objects","0.0000000025","USD","Fee","AmazonS3","EU (Ireland)","AWS Region","","","","S3-Inventory-ObjectsListed","Per object fee for objects listed in an Inventory","","","","","","","","EU-Inventory-ObjectsListed","",""
"3Z9HRWXNS4UUEQ8Z","JRTCKXETXF","3Z9HRWXNS4UUEQ8Z.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.040 per GB - South America (Sao Paulo) Amazon S3 accelerated data transfer from EU (Ireland)","2017-04-01","0","Inf","GB","0.0400000000","USD","Data Transfer","AWSDataTransfer","","","","","","","","","","Accelerated InterRegion Inbound from close by location","South America (Sao Paulo)","AWS Region","EU (Ireland)","AWS Region","SAE1-EU-AWS-In-ABytes","",""
"C6KT2PYHVWG3BSNN","JRTCKXETXF","C6KT2PYHVWG3BSNN.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - EU (London) data transfer from EU (Ireland)","2017-04-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSDataTransfer","","","","","","","","","","InterRegion Inbound","EU (London)","AWS Region","EU (Ireland)","AWS Region","EUW2-EU-AWS-In-Bytes","",""
"SBUTEQZM8C4UH92F","JRTCKXETXF","SBUTEQZM8C4UH92F.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.040 per GB - Canada (Central) Amazon S3 accelerated data transfer from EU (Ireland)","2017-04-01","0","Inf","GB","0.0400000000","USD","Data Transfer","AWSDataTransfer","","","","","","","","","","Accelerated InterRegion Inbound from close by location","Canada (Central)","AWS Region","EU (Ireland)","AWS Region","CAN1-EU-AWS-In-ABytes","",""
"D6KBGSK35QGV42AS","JRTCKXETXF","D6KBGSK35QGV42AS.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.040 per GB - Amazon S3 accelerated data transfer out (to within US, Europe or Japan)","2017-04-01","0","Inf","GB","0.0400000000","USD","Data Transfer","AWSDataTransfer","","","","","","","","","","Accelerated AWS Outbound using edge locations within US, Europe or Japan","EU (Ireland)","AWS Region","External","Other","EU-DataTransfer-Out-ABytes-T1","",""
